Material;Texto breve de material;Alm.;CMv;Texto;Ce.coste;Cantidad;Fe.contab.;Tipo Mov.;Consumo según Area;Año Solicitud
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS / H. BOHORQUEZ;500202;24,000;02/01/2020;Reservas;Mantenimiento Servicios;2020
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;ALMACEN REPUESTOS / H. BOHORQUEZ;500202;24,000;02/01/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;189,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;ESCLUSA DE MP SAS;500210;700,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;959;ESCLUSA DE MP SAS;500210;700,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;300,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;189,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;700,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;03/01/2020;Reservas;Fraccionamiento;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;03/01/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;03/01/2020;Reservas;Fab.E&S;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;24,000;20/04/2021;Reservas;Fraccionamiento;2021
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;63,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;200,000;07/01/2020;Reservas;Fraccionamiento;2020
